date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2024-02-22,67014.95,136,82,2024,1,0,0,0,0,0,0,0,0,0
2024-02-23,44202.67,91,83,2024,1,0,0,0,0,0,0,0,0,0
2024-02-24,107124.94,133,82,2024,1,0,0,0,0,0,0,0,0,0
2024-02-25,99129.19,169,104,2024,1,0,0,0,0,0,0,0,0,0
2024-02-26,57909.03,178,105,2024,1,0,0,0,0,0,0,0,0,0
2024-02-27,50241.97,137,106,2024,1,0,0,0,0,0,0,0,0,0
2024-02-28,51066.54,146,75,2024,1,0,0,0,0,0,0,0,0,0
2024-02-29,45204.49,139,93,2024,1,0,0,0,0,0,0,0,0,0
2024-03-01,56776.0,131,88,2024,1,0,0,0,0,0,0,0,0,0
2024-03-02,111507.83,151,99,2024,1,0,0,0,0,0,0,0,0,0
2024-03-03,95382.59999999999,218,112,2024,1,0,0,0,0,0,0,0,0,0
2024-03-04,50872.590000000004,105,84,2024,1,0,0,0,0,0,0,0,0,0
2024-03-05,61065.03,151,107,2024,1,0,0,0,0,0,0,0,0,0
2024-03-06,42860.81,145,84,2024,1,0,0,0,0,0,0,0,0,0
2024-03-07,51837.93,125,86,2024,1,0,0,0,0,0,0,0,0,0
2024-03-08,38436.54,83,65,2024,1,0,0,0,0,0,0,0,0,0
2024-03-09,115413.11,225,137,2024,1,0,0,0,0,0,0,0,0,0
2024-03-10,135294.52,204,117,2024,1,0,0,0,0,0,0,0,0,0
2024-03-11,27819.79,95,70,2024,0,0,0,0,0,0,0,0,0,0
2024-03-12,86479.01000000001,99,53,2024,0,0,0,0,0,0,0,0,0,0
2024-03-13,44286.83,86,54,2024,0,0,0,0,0,0,0,0,0,0
2024-03-14,31251.85,95,69,2024,0,0,0,0,0,0,0,0,0,0
2024-03-15,71653.92,243,156,2024,0,0,0,0,0,0,0,0,0,0
2024-03-16,136833.65,193,123,2024,0,0,0,0,0,0,0,0,0,0
2024-03-17,74271.98,188,121,2024,0,0,0,0,0,0,0,0,0,0
2024-03-18,99279.92,173,97,2024,0,0,0,0,0,0,0,0,0,0
2024-03-19,48445.200000000004,117,80,2024,0,0,0,0,0,0,0,0,0,0
2024-03-20,48798.78,122,70,2024,0,0,0,0,0,0,0,0,0,0
2024-03-21,54768.96,106,79,2024,0,0,0,0,0,0,0,0,0,0
2024-03-22,28368.7,115,84,2024,0,0,0,0,0,0,0,0,0,0
2024-03-23,83501.85,216,128,2024,0,0,0,0,0,0,0,0,0,0
2024-03-24,51951.46,138,95,2024,0,0,1,0,0,0,0,0,0,0
2024-03-25,123512.35,194,120,2024,0,0,1,0,0,0,0,0,0,0
2024-03-26,44533.69,111,88,2024,0,0,1,0,0,0,0,0,0,0
2024-03-27,119797.22,131,87,2024,0,0,1,0,0,0,0,0,0,0
2024-03-28,48844.08,159,110,2024,0,0,1,0,0,0,0,0,0,0
2024-03-29,201874.05,395,252,2024,0,0,1,0,0,0,0,0,0,0
2024-03-30,64308.8,203,111,2024,0,0,1,0,0,0,0,0,0,0
2024-03-31,276752.15,609,414,2024,0,0,1,0,0,0,0,0,0,0
2024-04-01,49539.130000000005,106,76,2024,0,0,0,0,0,0,0,0,0,0
2024-04-02,32637.99,157,109,2024,0,0,0,0,0,0,0,0,0,0
2024-04-03,77269.66,165,101,2024,0,0,0,0,0,0,0,0,0,0
2024-04-04,44660.56,131,106,2024,0,0,0,0,0,0,0,0,0,0
2024-04-05,51795.7,169,115,2024,0,0,0,0,0,0,0,0,0,0
2024-04-06,92465.16,257,183,2024,0,0,0,0,0,0,0,0,0,0
2024-04-07,65688.91,188,120,2024,0,0,0,0,0,0,0,0,0,0
2024-04-08,33314.97,119,79,2024,0,0,0,0,0,0,0,0,0,0
2024-04-09,19077.43,108,79,2024,0,0,0,0,0,0,0,0,0,0
2024-04-10,86407.15,114,82,2024,0,0,0,0,0,0,0,0,0,0
2024-04-11,34706.9,129,105,2024,0,0,0,0,0,0,0,0,0,0
2024-04-12,59838.44,119,83,2024,0,0,0,0,0,0,0,0,0,0
2024-04-13,129395.81,212,126,2024,0,0,0,0,0,0,0,0,0,0
2024-04-14,99570.27,220,134,2024,0,0,0,0,0,0,0,0,0,0
2024-04-15,57290.41,128,100,2024,0,0,0,0,0,0,0,0,0,0
2024-04-16,92679.92,187,121,2024,0,0,0,0,0,0,0,0,0,0
2024-04-17,52235.57,217,105,2024,0,0,0,0,0,0,0,0,0,0
2024-04-18,44613.13,177,98,2024,0,0,0,0,0,0,0,0,0,0
2024-04-19,49909.61,163,112,2024,0,0,0,0,0,0,0,0,0,0
2024-04-20,109481.28,202,125,2024,0,0,0,0,0,0,0,0,0,0
2024-04-21,275067.18,563,343,2024,0,0,0,0,0,0,0,0,0,0
