date,y,total_qty,num_items,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal,brand__anubis,brand__havit,brand__reddragon,brand__sony,cat__consoles,cat__headset,cat__mouse,cat__tvs,cat__teclado,year,month,day,weekday,lag1,lag2,ma3
2024-11-11,131035.13,317,201,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,11,0,153118.7,138100.39,140751.40666666668
2024-11-18,210834.87999999998,546,363,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,18,0,131035.13,153118.7,164996.23666666666
2024-11-25,426822.31,682,428,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,25,0,210834.87999999998,131035.13,256230.77333333335
2024-12-02,240134.32,413,231,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,2,0,426822.31,210834.87999999998,292597.17
2024-12-09,133505.35,460,306,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,9,0,240134.32,426822.31,266820.66
2024-12-16,294398.25,464,296,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,16,0,133505.35,240134.32,222679.30666666667
2024-12-23,203113.41,456,317,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,23,0,294398.25,133505.35,210339.00333333333
2024-12-30,314120.01,786,504,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,30,0,203113.41,294398.25,270543.89
2025-01-06,379118.78,1020,609,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,6,0,314120.01,203113.41,298784.0666666667
2025-01-13,474795.51999999996,679,419,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,13,0,379118.78,314120.01,389344.77
2025-01-20,443938.76,786,463,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,20,0,474795.51999999996,379118.78,432617.6866666667
2025-01-27,291264.62,781,491,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,27,0,443938.76,474795.51999999996,403332.9666666666
2025-02-03,328560.97,673,429,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,3,0,291264.62,443938.76,354588.11666666664
2025-02-10,387016.04,929,571,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,10,0,328560.97,291264.62,335613.87666666665
2025-02-17,468904.84,987,636,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,17,0,387016.04,328560.97,394827.2833333334
2025-02-24,422429.03,983,627,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,24,0,468904.84,387016.04,426116.6366666667
2025-03-03,478911.88,1015,632,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,3,0,422429.03,468904.84,456748.5833333333
2025-03-10,508126.55,1149,783,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,10,0,478911.88,422429.03,469822.48666666663
2025-03-17,497909.94,1191,747,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,17,0,508126.55,478911.88,494982.79
2025-03-24,397414.46,971,663,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,24,0,497909.94,508126.55,467816.9833333334
2025-03-31,506777.20999999996,1061,694,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,31,0,397414.46,497909.94,467367.2033333333
2025-04-07,357819.70999999996,1139,703,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,7,0,506777.20999999996,397414.46,420670.45999999996
2025-04-14,520733.59,1145,746,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,14,0,357819.70999999996,506777.20999999996,461776.83666666667
2025-04-21,888383.55,2148,1374,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,21,0,520733.59,357819.70999999996,588978.9500000001
2025-04-28,548620.17,1196,764,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,28,0,888383.55,520733.59,652579.1033333334
2025-05-05,699678.03,1501,957,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5,5,0,548620.17,888383.55,712227.25
2025-05-12,623736.51,1185,746,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5,12,0,699678.03,548620.17,624011.57
2025-05-19,394559.92,1107,662,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5,19,0,623736.51,699678.03,572658.1533333334
2025-05-26,410997.29,987,614,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5,26,0,394559.92,623736.51,476431.24
2025-06-02,451226.89999999997,826,543,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6,2,0,410997.29,394559.92,418928.0366666666
2025-06-09,306734.44,913,624,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6,9,0,451226.89999999997,410997.29,389652.87666666665
2025-06-16,385416.3,917,585,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6,16,0,306734.44,451226.89999999997,381125.87999999995
2025-06-23,394931.3,1142,714,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6,23,0,385416.3,306734.44,362360.68
2025-06-30,472378.62,790,486,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6,30,0,394931.3,385416.3,417575.4066666667
2025-07-07,358885.79,680,459,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7,7,0,472378.62,394931.3,408731.9033333333
2025-07-14,236790.28,657,412,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7,14,0,358885.79,472378.62,356018.23
2025-07-21,208979.52000000002,595,386,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7,21,0,236790.28,358885.79,268218.52999999997
2025-07-28,254349.4,588,384,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7,28,0,208979.52000000002,236790.28,233373.06666666665
2025-08-04,187400.98,399,263,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,8,4,0,254349.4,208979.52000000002,216909.96666666667
2025-08-11,214122.28,504,360,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,8,11,0,187400.98,254349.4,218624.21999999997
2025-08-18,192818.1,423,293,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,8,18,0,214122.28,187400.98,198113.78666666665
